ID;Category;Source;URLs;Title;PublicationDate;SoMePlatform;RetroSampleDate;RetroSampleCountry;JointMusicking;OrigCovidSong;OrigCovidLyrics;Movement;HealthInfo;Conflict;Country;Setting;Genre;Emotions;Features;FirstCoder;SecondCoder;Comments
74;video;GoogleSheet;https://twitter.com/i/status/1240969955337736192;Balcony singing: Italy vs Spain vs UK (humour);20-03-2020;Twitter;NA;NA;1;0;0;0;0;0;Italy, Spain, UK, Spain;balcony;opera, pop, oldies;humour, togetherness;compilation, balcony singing;MT;JW;
75;video;GoogleSheet;https://www.youtube.com/watch?v=3eXT60rbBVk;Rotterdam Philharmonic plays Beethoven's 9th Symphony (remotely);20-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Netherlands;home;world, classical;togetherness, being moved, happiness, hope;splitscreen;MT;JV;
76;video;GoogleSheet;https://www.youtube.com/watch?v=p09hpKAv9Jc;Colorado Symphony's Digital Ode to Joy;23-03-2020;YouTube;NA;NA;1;0;0;0;0;0;USA;home;classical;togetherness, happiness;splitscreen, orchestra;MT;JW;
77;video;GoogleSheet;https://www.standard.co.uk/news/world/maasstad-hospital-rotterdam-singing-coronavirus-a4399271.html;Heartwarming moment hospital staff sing to intensive care staff to lift spirits - Maasstad Ziekenhuis Rotterdam;27-03-2020;NA;NA;NA;1;0;0;1;0;0;Netherlands;hospital, ICU;soundtrack, pop, rock, oldies;togetherness, being moved, gratitude;news report;MT;JV;
78;video;GoogleSheet;https://twitter.com/MartxeloDiaz/status/1241683423695114240;Larrain-dantza (Dance of the Threshing Floor), traditional dance of Gares (Navarre, the Basque Country), usually danced doing a big circle of people.;22-03-2020;Twitter;NA;NA;1;0;0;1;0;0;Spain;balcony;world, folk;togetherness, happiness;dance, news report, folk dance;MT;JW;
79;video;GoogleSheet;https://goiena.eus/antzuola/1584891542350-domeketako-ohitura-galdu-ez-dadin;Alborada in Antzuola (the Basque Country), it's a tradition the local band of txistu (Basque instrument) plays this street by street every sunday morning. Video is edited but playing around the town is simultaneous.;22-03-2020;NA;NA;NA;1;0;0;0;0;0;Spain;balcony, window, outdoors;world, folk;togetherness, happiness, hope, nostalgia;compilation, news report, edited, Basque Country;MT;JV;
80;video;GoogleSheet;https://twitter.com/doctor_oxford/status/1241654435664846848;Catalan police singing in the streets;21-03-2020;Twitter;NA;NA;1;0;0;1;0;1;Spain;outdoors;world, folk;togetherness, happiness;dance, nationalistic;MT;JB;
81;video;GoogleSheet;https://www.youtube.com/watch?v=_Hc_5RmmRac;Evening bagpipes heard through London (Ontario) neighbourhood;23-03-2020;YouTube;NA;NA;0;0;0;0;0;0;UK, Canada;outdoors;folk, traditional;being moved, loneliness, grief/sadness;news report;MT;DS;
82;video;GoogleSheet;https://twitter.com/RoyalFamily/status/1243277143741812736;Clap for Our Carers - Windsor Castle;26-03-2020;Twitter;NA;NA;1;0;0;0;0;0;UK;outdoors;NA;gratitude;NA;MT;JB;
84;video;GoogleSheet;https://www.youtube.com/watch?v=ic27xi2Mpyc;Beethoven – String Quartet No. 10 (Harp) – Anne-Sophie Mutter & Friends;26-03-2020;YouTube;NA;NA;1;0;0;0;0;0;UK;home;classical;grief/sadness, longing, togetherness, being moved;splitscreen;MT;DS;
