ID;Category;Source;URLs;Title;cleanedTitle;MediaPlatform;MediaFormat;EmbeddedExternalVideo;PublicationDate;Country;Language;Setting;MusicMakerProfessionalism;Movement;HealthInfo;Conflict;Emotions;Features;FirstCoder;SecondCoder
537;media;GoogleSheet;https://consequenceofsound.net/2020/04/three-6-mafia-bone-thugs-n-harmony-dj-battle/;Three 6 Mafia, Bone Thugs-N-Harmony to Compete in Instagram Live DJ Battle;Three  Mafia Bone ThugsNHarmony to Compete in Instagram Live DJ Battle;Consequence of Sound;writtenDigital;0;28-04-2020;USA;English;home;prof;0;0;0;happiness;virtual performance;MT;JB
538;media;GoogleSheet;https://theconversation.com/together-we-rise-east-arnhem-land-artists-respond-to-covid-19-with-the-gift-of-music-137247;Together we rise: East Arnhem Land artists respond to COVID-19 with the gift of music;Together we rise East Arnhem Land artists respond to COVID with the gift of music;The Conversation;writtenDigital;1;28-04-2020;UK, Australia;English;outside, online, home;prof;0;0;0;loneliness, togetherness, happiness;virtual performance, livestream;MT;JV
539;media;GoogleSheet;https://consequenceofsound.net/2020/04/king-crimsons-robert-fripp-launches-music-for-quiet-moments-quarantine-series/;King Crimson’s Robert Fripp Launches “Music for Quiet Moments” Quarantine Series;King Crimsons Robert Fripp Launches Music for Quiet Moments Quarantine Series;Consequence of Sound;writtenDigital;1;29-04-2020;USA;English;home, online;prof;0;0;0;togetherness, being moved;music compilation;MT;JB
540;media;GoogleSheet;https://www.reuters.com/article/us-health-coronavirus-usa-events-idUSKCN22A2AK;Most Americans to avoid sports, other live events before coronavirus vaccine: Reuters/Ipsos;Most Americans to avoid sports other live events before coronavirus vaccine ReutersIpsos;Reuters;writtenDigital;0;28-04-2020;USA;English;venue;prof;0;1;1;fear;statistics, concert attendance;MT;JV
541;media;GoogleSheet;https://www.rollingstone.com/pro/features/music-business-epic-games-fortnite-991211/;Why the Music Business Should Be Looking Closely at Fortnite and Epic Games;Why the Music Business Should Be Looking Closely at Fortnite and Epic Games;Rolling Stone;writtenDigital;0;28-04-2020;USA;English;online;prof;0;0;1;grief/sadness, fear, suspense, opportunity;music industry, virtual reality, AI, gaming;MT;DS
542;media;GoogleSheet;https://www.bbc.com/news/entertainment-arts-52402372;Charli XCX on her lockdown album: 'Why didn't I do this before?';Charli XCX on her lockdown album Why didnt I do this before;BBC;writtenDigital;1;26-04-2020;UK;English;home, online;prof;0;0;0;togetherness, happiness;songwriting;MT;JV
543;media;GoogleSheet;https://www.npr.org/2020/04/28/847447189/from-the-urgent-to-the-absurd-musicians-take-on-the-coronavirus-through-song;From The Urgent To The Absurd, Musicians Take On The Coronavirus Through Song;From The Urgent To The Absurd Musicians Take On The Coronavirus Through Song;NPR;writtenDigital;1;28-04-2020;USA;English;home, online;prof;0;0;0;gratitude, grief/sadness;music compilation;MT;NCH
544;media;GoogleSheet;https://www.latimes.com/entertainment-arts/music/story/2020-04-28/coronavirus-wedding-season-bands-djs;Coronavirus canceled wedding season. So what's a wedding singer to do?;Coronavirus canceled wedding season So whats a wedding singer to do;Los Angeles Times;writtenDigital;0;28-04-2020;USA;English;venue;prof;0;0;0;grief/sadness;music industry;MT;JB
546;media;GoogleSheet;https://pitchfork.com/thepitch/dj-sets-livestreaming-economics-electronic-music-coronavirus/;DJ Sets Are Going Online—But Is Anyone Getting Paid?;DJ Sets Are Going OnlineBut Is Anyone Getting Paid;Pitchfork;writtenDigital;1;22-04-2020;USA;English;home, online ;prof;0;0;1;togetherness;virtual performance, livestream;MT;JV
547;media;GoogleSheet;https://www.theguardian.com/music/2020/apr/23/spotify-tip-jar-musicians-pay-fans-donate-artists;Spotify's 'tip jar' is a slap in the face for musicians. It should pay them better;Spotifys tip jar is a slap in the face for musicians It should pay them better;The Guardian;writtenDigital;0;23-04-2020;UK;English;online;prof, amateur;0;0;1;anger, grief/sadness, frustration, fairness;spotify;MT;DS
