ID;Category;Source;URLs;Title;Media Platform;Media Written Online;Media Audio;Media Video;Media Written Print;Embedded External Video;Publication Date;Country;Continent;Language;Setting;Music Maker Professionalism;Movement;Health Information;Conflict;Emotions;Features;First Coder;Second Coder;Social Media Platform;Retrospective Sample Date;Retrospective Sample Country;Joint Musicking;Original Covid Song;Original Covid Lyrics;Genre;Setting Code;Genre Code;Emotions Code;Title (No Punctuation)
ID;Category;Source;URLs;Title;MediaPlatform;MediaWrittenOnline;MediaAudio;MediaVideo;MediaWrittenPrint;EmbeddedExternalVideo;PublicationDate;Country;Continent;Language;Setting;MusicMakerProfessionalism;Movement;HealthInfo;Conflict;Emotions;Features;FirstCoder;SecondCoder;SoMePlatform;RetroSampleDate;RetroSampleCountry;JointMusicking;OrigCovidSong;OrigCovidLyrics;Genre;Setting_code;Genre_code;Emotion_code;CleanedTitle
