ID;Category;Source;URLs;Title;PublicationDate;SoMePlatform;RetroSampleDate;RetroSampleCountry;JointMusicking;OrigCovidSong;OrigCovidLyrics;Movement;HealthInfo;Conflict;Country;LyricsLanguage;Setting;Genre;Emotions;Features;FirstCoder;SecondCoder
1084;video;Retrospective;https://www.youtube.com/watch?v=HNJNOuMmlOU;Coronavirus greek song;02-03-2020;YouTube;02-03-2020;Denmark;1;0;1;0;0;0;Greece;greek;home;folk, traditional;grief/sadness, humour, happiness;translation;JB;JW
73;video;GoogleSheet;https://www.youtube.com/watch?v=ZLHTTVhLBIY;VU ÐI<U+1EC6>U R<U+1EEC>A TAY - GHEN CÔ VY | Dance Tutorial (Part 1);03-03-2020;YouTube;NA;NA;0;0;1;1;1;0;Vietnam;vietnamese;home;dance/electronica, pop;humour;dance, educational;MT;JB
1021;video;Retrospective;https://www.youtube.com/watch?v=HgavXmXH1es;Corona-Song;03-03-2020;YouTube;03-03-2020;USA;1;0;1;1;1;0;Switzerland;german;home;pop;humour, happiness, loneliness;lyric video;NCH;MT
1022;video;Retrospective;https://www.youtube.com/watch?v=0lX1sPTHoyE;MALACHI ASANDE - CORONA VIRUS (OFFICIAL VIDEO);03-03-2020;YouTube;03-03-2020;UK;0;1;1;1;0;1;Kenya;swahili;outside;world;humour, happiness, helplessness, togetherness, grief/sadness;religious, music video;NCH;MT
1023;video;Retrospective;https://www.youtube.com/watch?v=hVa4RspUptg;OCSB Students Sing a Message of Love | Coronavirus;03-03-2020;YouTube;03-03-2020;Denmark;1;0;0;0;0;0;Canada;chinese;school;ballad, pop;togetherness, being moved;choir;NCH;MT
1024;video;Retrospective;https://www.youtube.com/watch?v=u0a0UAaq0fk;I Can't Get No (Desinfection) | zibb & radioeins;03-03-2020;YouTube;03-03-2020;Denmark;0;0;1;1;1;1;Germany;german;outside, home;rock, pop;humour, frustration;music video;NCH;MT
33;video;GoogleSheet;https://www.youtube.com/watch?v=6IOS7-4n12c;Coronavirus-themed parody of Natalie Imbruglia’s ‘Torn’;04-03-2020;YouTube;NA;NA;0;0;1;0;0;0;China;english;outside;pop;humour, nostalgia;music video;MT;JV
1025;video;Retrospective;https://www.youtube.com/watch?v=wYlm-k8XaJ0;WASH YO HANDS: A Covid-19 PSA Song by Gurmit Singh;04-03-2020;YouTube;04-03-2020;USA;1;1;1;1;1;0;Singapore;english;hospital, healthcare, animation;rap/hip-hop, pop;humour, togetherness, resilience, happiness, hope;music video, animation, dance;DS;NCH
1026;video;Retrospective;https://www.youtube.com/watch?v=JN3Hdva8fwg;DIKKE LOL CORONA LIEDJES | Het leukste corona liedje;04-03-2020;YouTube;04-03-2020;UK;0;0;1;0;0;1;Netherlands;dutch;animation;pop, dance/electronica;humour;still, photo;DS;NCH
1027;video;Retrospective;https://www.youtube.com/watch?v=T7NcQ8lHHLc;#Coronavirus Doctors and nurses in Iran are lifting the morale of COVID-19 patients through dance.;04-03-2020;YouTube;04-03-2020;UK;1;0;0;1;0;0;Iran;NA;hospital, healthcare;world, traditional iranian;happiness, hope, togetherness;compilation, news report, dance;DS;NCH
1028;video;Retrospective;https://www.youtube.com/watch?v=jOf1FLxpAGM;"My Corona – a ""viral"" parody of My Sharona | One-Woman Band";04-03-2020;YouTube;04-03-2020;USA;0;0;1;1;0;0;USA, Germany;english;home;pop, rock;humour, fear;splitscreen;DS;NCH
119;video;GoogleSheet;https://twitter.com/farnazfassihi/status/1235662251786465283;Iranian medical staff dance to keep spirits up;05-03-2020;Twitter;NA;NA;1;0;0;1;0;0;Iran;NA;hospital, healthcare;world;togetherness, happiness, being moved;splitscreen, dance, shouting;MT;NCH
121;video;GoogleSheet;https://www.tiktok.com/@dohgovph/video/6800659566561381633?lang=en or https://twitter.com/DOHgovph/status/1235521471587299329?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed;Public health video with dance challenge from Department of Health, The Philippines;05-03-2020;TikTok, Twitter;NA;NA;1;1;1;1;1;0;The Philippines;NA;workplace;pop;togetherness, happiness, encouraging;dance, choreography;MT;DS
